second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
0,140,9891,1.0659251837722643,0.7388896757842112,3224.634015438023,60.76577619475714,79.34046779008436,99.93692703751066,0.0,0.9524624052797426,592.7147627825924,625.3664456824756,38.06463346282857,773.893949688693,776.9866505224968,38.20423305065617,997.3923232488313,38.14941308547741
1,152,9809,1.7158370095244984,1.0175769685388587,1292.951117746396,-26.061143072407724,90.7161868875534,94.38543182958917,0.0,1.0829419236995408,-254.20269765826004,-311.8195927157436,37.990771371539466,884.853721266819,924.8121800071189,38.059422112377206,975.9656893000551,38.052419968690785
2,160,9893,1.281600817240726,0.7310376605341364,1136.8140050237696,-26.351610024552443,-86.71453453009987,90.63011557786945,0.0,1.0042486149938383,-257.0359380349623,-238.02946709583125,38.16768912294516,-845.8212497620591,-873.6061619270852,38.10078186788167,905.4533413505624,38.105409483658015
3,350,9785,2.000742042706263,0.8759571604966708,517.9849884555767,-26.461111414292727,38.30148829873431,46.55313548170192,0.0,0.9869506809028812,-258.1040242885841,-249.06227635017717,38.15948280718651,373.5961090737003,366.27090968914246,38.03989913100634,442.92933610819233,38.07775079644996
4,412,9641,3.0962038789677027,1.0188201606618688,444.7480637869484,-36.45626502756451,-18.37844893476572,40.82678832589964,0.0,0.9792698867549112,-355.59763786275096,-355.9062581111181,38.04729988335208,-179.26501861456538,-207.4786751521557,38.08322464815093,411.96682537014016,38.056415149225494
5,416,9746,2.158972284716985,1.0258608002251488,357.894268581764,-21.557949148298697,-34.25097414030217,40.47066099089908,0.0,0.9759682804476484,-210.2781452928353,-216.7148736179119,38.21348819213583,-334.087035234703,-393.3831325167656,38.30493960053201,449.1276270682207,38.2836665306172
6,418,9797,0.7305278807491334,1.2787228927950365,2307.237584248555,37.95858106836237,-13.673739349638284,40.34631364233026,0.0,0.941732044367339,370.2513615787464,406.7961442409653,38.10410264459759,-133.37486464414027,-113.35888772206272,38.13500230270039,422.2953236715977,38.10633003140593
7,420,9850,0.8618008418776082,0.976007950926918,559.515447774843,3.4588022234964853,-39.90773717430471,40.05734388591743,0.0,1.0914287777420737,33.73746322010289,-20.70266816217839,38.26465065714433,-389.2636028649777,-406.8859278115883,38.24575160805486,407.41227119483074,38.24580042059361
8,442,9886,1.5303317501723588,0.7340928495581129,571.9318976735369,7.839669578933953,-37.63358879132491,38.44148051807316,0.0,1.0379131216055546,76.46883140073605,36.84331525541789,38.185076247786384,-367.081358125272,-322.8828904451988,38.473718360748734,324.97813898977324,38.47002214344503
9,445,9644,2.6716019433415648,0.9064033492953304,1132.8693356637166,-25.878160581688096,-28.20042108982193,38.27457308364013,0.0,1.0330309336379224,-252.417870237762,-278.5707801171099,37.99025699351019,-275.0694049073164,-225.7408735466655,38.01313677510599,358.55351277691705,37.99932774414185
10,467,9694,2.4866819015914485,1.0589021011364903,579.5063169637926,9.394901156311516,35.71266752353037,36.92775093859745,0.0,0.9360424787000292,91.63869794704492,59.55075358519227,38.017529090529024,348.3445219509797,315.8671142862093,38.22924972550541,321.43168191710896,38.22200207488672
11,470,9761,2.042547301875515,1.076602338457689,479.036314159876,13.875869778197686,33.607537203352415,36.35940482153437,2.0,0.9713428974849178,135.34646274618288,145.0575541235108,39.092488676775865,327.81089436508904,338.3937855211532,39.36176006606681,368.1739372737178,39.320082075047246
12,488,9861,1.4002910844846814,0.8559921400285055,751.0571014380666,-30.5694754477555,16.747099324427726,34.8562500124895,0.0,0.967825519830966,-298.1773709321594,-302.8477388264645,38.14210569251847,163.35269003329424,207.412194187612,38.171468505872255,367.0648051911571,38.15148335275865
13,524,9642,3.150332247396144,1.0266886538231188,610.061401704396,-14.303214374616775,29.637540209530144,32.9084446778902,0.0,1.032213944669017,-139.5148197878365,-172.4032298737279,38.1421265041341,289.08719208077605,331.35286397608934,38.17840885222694,373.5205404473096,38.17068213995904
14,558,9733,2.976955925180019,1.4547152924367677,336.2231042761404,0.4665871851610095,-31.026786940468465,31.030295059031925,1.0,0.9937327009184777,4.551132727799604,-4.277647669765582,40.90618213446337,-302.6380277343103,-290.85948158487963,40.86103231897636,290.89093539918287,40.86104208787146
15,653,9647,2.7488935718910694,0.959307017980425,646.8935109722086,16.65383221923272,21.907807841098368,27.519123750382114,1.0,0.985195881504992,162.442954428932,135.1636686783731,40.17822533317792,213.6906979679721,174.71151505940443,39.090625418551966,220.89212485951037,39.50135216609628
16,673,9823,1.8359307386424428,0.8678950099994327,780.1886552618952,12.222509807754042,24.047126067244573,26.97506289324637,1.0,1.0364975202796165,119.21944316307273,120.6919780830833,39.20216843916282,234.5577974165615,247.10101164924765,38.52945210220068,275.0008427835978,38.65993718113934
17,704,9632,3.289566220606704,0.9847587795592968,674.3111787712961,-9.363384944660854,24.067850252983806,25.82507296063177,0.0,0.9991780552970618,-91.33128602734104,-141.32168355190873,38.03783579197301,234.7599429597193,321.28326483116854,38.07503997722114,350.9911031671894,38.06901105974395
18,760,9760,1.505563921197102,1.4507215337648471,898.8657237296646,20.82294067488664,-12.473298792154772,24.2729899499056,1.0,1.018263872720646,203.10880754644757,243.43389707442097,40.501149412249816,-121.66566112828306,-50.52063171185493,38.802223637818265,248.620989607484,40.432411018153196
19,777,9734,2.567585300216503,1.3779351414985066,883.6737237786278,-23.24905392356595,5.361204076156662,23.85919146758909,0.0,1.055470394400245,-226.7733310450996,-224.8853107520413,38.121440248996194,52.29365937898498,66.59985700077175,38.0352614640361,234.53985576989984,38.11449860996687
20,806,9887,1.1477038256515248,0.7718949982558877,1256.6958897688803,12.551423016060454,19.40194240160061,23.107868544786207,0.0,1.0025937823839948,122.4276917274055,163.24578179147838,38.227872948917856,189.24826453674805,197.2217837940485,38.086412169781696,256.0187830523717,38.143989822305684
21,854,9643,2.579313877170057,0.8568432171980903,511.7991638899039,-12.764041875372786,17.961872686023117,22.03519084067967,0.0,1.0384311060417943,-124.50159491193008,-123.5023708275878,38.1660091152871,175.2016969898572,210.9537669509146,38.145215744210105,244.44698278116627,38.15052451854016
22,874,9837,1.41617280777493,1.0022260386211457,495.1240847506315,-6.480815076722859,20.55196769297437,21.549578652765828,0.0,0.971141761832292,-63.214444237923885,-63.035711079368326,37.994928842526726,200.46571308189465,218.72992333105583,38.05027224837586,227.63189634076144,38.04603112198966
23,885,9765,1.5180457038801425,1.4103549507826931,325.7830123762047,-15.799655530404891,-14.322353962706757,21.32507767658809,0.0,1.0713140263008845,-154.11123935513217,-185.99755183213404,38.05457779092852,-139.70150902518205,-111.44013129217862,38.23966510704248,216.82710197289774,38.103556600846034
24,917,9807,1.516067224006115,1.1266124035913023,826.4122585872142,-19.482514058347338,7.234457861602652,20.78234189366073,0.0,0.9882971250172472,-190.03416761256128,-158.70982379434182,38.10798626232457,70.5655427087335,109.09480285434142,38.01012113349744,192.58889941701895,38.076610491700116
25,931,9667,3.562590879379344,1.164137224418048,365.0785883145912,20.47562057285946,0.5903828741531476,20.484130193439967,0.0,1.0278655325660018,199.72101651053825,211.45759291193636,38.21166693353473,5.758646842312199,4.719735517976886,38.09509600448146,211.51025862465832,38.211608977309595
26,934,9666,3.13797330721469,1.1347830294063874,717.9393950619146,12.371657644483156,-16.316112187056422,20.47616736044393,1.0,0.9870127353681876,120.67424437194892,175.80260465614586,38.58182381549979,-159.14880332458765,-186.43873754280852,39.04472497989978,256.25369979854213,38.82754186587223
27,946,9663,2.4806640236898354,0.8751090696129726,739.5829976547453,-6.723576853003275,-19.1535309466666,20.299365345329303,1.0,1.0226573577950149,-65.58236410419134,-28.94253231913688,41.155005578426994,-186.82523720452423,-213.1767989578859,41.87573837078816,215.1325586492551,41.86280390239181
28,951,9754,2.0934108941683864,1.0341350558700115,596.1584750683895,20.18175478104212,-1.4859291267665724,20.23638335799877,0.0,1.024477313090464,196.85462355064777,259.2380546843452,38.06355400757569,-14.493884305211642,-17.45053205785083,38.21063385149649,259.8247295113104,38.06421873562769
29,966,9690,3.044310381078064,1.2181332433948224,808.9621035344232,-7.054785798732381,18.55042352602176,19.846617234702176,0.0,1.0227065366153054,-68.81300549466926,-106.8226773548516,38.26666440739345,180.9424740087705,218.42070936828657,38.010711227393074,243.14335417239812,38.06024934300014
30,973,9817,1.6746552690597485,1.005548043372414,740.2067706703157,-17.379793175766128,-9.16434538041709,19.64796267005765,0.0,1.0180962700185898,-169.5240418943835,-149.98066131691968,38.19088005736613,-89.38983648957851,-173.112947195324,38.16395650578657,229.0464827403198,38.175502812640005
31,991,9743,2.303283456026622,1.3811392211255948,814.4666051244357,19.165145745405887,1.9195443284068645,19.261034807906046,0.0,1.027052975844502,186.938528980103,177.57393926955115,38.09238618640609,18.723405385554997,18.00554945042889,38.10227659687855,178.48446352194938,38.09248685222717
32,998,9624,3.3208855676583013,0.9697501773412222,614.8046332855188,1.555998597580202,19.157538556338324,19.22062473420833,1.0,0.9553656254749122,15.177348129297304,-21.535908533920765,42.98216824700901,186.8643277842,142.39430606271824,41.547423241320985,144.01365822540748,41.580048799412914
33,1006,9697,3.69187971629383,1.3237846097408774,391.6909629540965,3.73630964184226,18.706748812417203,19.076227637313306,0.0,0.9915081268138504,36.44429515635679,17.649936929561004,38.156172660574086,182.46728469736976,191.65735452658657,38.075701056672585,192.46833978020172,38.076378487880525
34,1029,9773,1.1323911762048722,1.4027544128059766,522.8790140200558,15.8567425119622,9.824932242379736,18.65383544094946,1.0,0.9237139630896292,154.6680708292051,141.00870213844317,43.97141738701703,95.8332592466677,95.48511375164124,41.38787222333974,170.29639170261964,43.17585637428361
35,1033,9894,1.5121215616582708,0.7046752451648378,1706.6401790258917,4.700571328960399,-17.98694115574831,18.59100381794907,0.0,0.9383622487007603,45.849789053263216,115.13387705779444,38.11992992838701,-175.44621706376967,-141.2999480214398,38.08234550602495,182.26761905840794,38.09734663083763
36,1048,9710,3.591178050861697,1.3999536071547776,469.0950157635787,8.013607871651175,16.594384023084874,18.42800836298389,0.0,0.9881088247893122,78.16544091291065,68.25877884148494,38.23309684301347,161.86309145861975,123.42527471692824,38.1672339780326,141.04275709117417,38.18267026386137
37,1063,9826,0.9151916627006884,1.1429462673679935,344.5835603466076,-18.126850250459988,-2.165999226457315,18.255800520700674,0.0,1.0529458870687782,-176.8109027647698,-170.6167245996788,38.01351657775173,-21.127348288652215,59.9398716377174,37.982706873178,180.8393069138142,38.01013299517483
38,1065,9782,1.9917383068021592,0.9219868337305503,443.7042676779069,-14.6566409469275,-10.850601693840982,18.23602700605416,0.0,1.008659992727361,-142.9621738757168,-66.06297538857757,38.24448136815512,-105.837729915614,-134.93639018889033,38.116473123388126,150.2402945763894,38.141256976353596
